name,reads,reads2,date,location_name,coordinates_lat,coordinates_long
WW-T7-004_2021-08-03_Berlin_A,WW-T7-004_R1.fastq.gz,WW-T7-004_R2.fastq.gz,2021-08-03,Berlin_A,52.3646054650197,13.5098643274129
WW-T10-001_2021-08-21_Berlin_A,WW-T10-001_R1.fastq.gz,WW-T10-001_R2.fastq.gz,2021-08-21,Berlin_A,52.3646054650197,13.5098643274129
WW-T11-002_2021-08-24_Berlin_A,WW-T11-002_R1.fastq.gz,WW-T11-002_R2.fastq.gz,2021-08-24,Berlin_A,52.3646054650197,13.5098643274129
WW-T12-001_2021-08-28_Berlin_A,WW-T12-001_R1.fastq.gz,WW-T12-001_R2.fastq.gz,2021-08-28,Berlin_A,52.3646054650197,13.5098643274129
WW-T13-004_2021-08-31_Berlin_A,WW-T13-004_R1.fastq.gz,WW-T13-004_R2.fastq.gz,2021-08-31,Berlin_A,52.3646054650197,13.5098643274129
WW-T14-001_2021-09-06_Berlin_A,WW-T14-001_R1.fastq.gz,WW-T14-001_R2.fastq.gz,2021-09-06,Berlin_A,52.3646054650197,13.5098643274129
WW-T15-001_2021-09-12_Berlin_A,WW-T15-001_R1.fastq.gz,WW-T15-001_R2.fastq.gz,2021-09-12,Berlin_A,52.3646054650197,13.5098643274129
WW-T15-002_2021-09-09_Berlin_A,WW-T15-002_R1.fastq.gz,WW-T15-002_R2.fastq.gz,2021-09-09,Berlin_A,52.3646054650197,13.5098643274129
WW-T17-001_2021-09-21_Berlin_A,WW-T17-001_R1.fastq.gz,WW-T17-001_R2.fastq.gz,2021-09-21,Berlin_A,52.3646054650197,13.5098643274129
WW-T17-002_2021-09-18_Berlin_A,WW-T17-002_R1.fastq.gz,WW-T17-002_R2.fastq.gz,2021-09-18,Berlin_A,52.3646054650197,13.5098643274129
WW-T18-001_2021-09-24_Berlin_A,WW-T18-001_R1.fastq.gz,WW-T18-001_R2.fastq.gz,2021-09-24,Berlin_A,52.3646054650197,13.5098643274129
WW-T18-002_2021-09-28_Berlin_A,WW-T18-002_R1.fastq.gz,WW-T18-002_R2.fastq.gz,2021-09-28,Berlin_A,52.3646054650197,13.5098643274129
WW-T18-006_2021-09-24_Berlin_A,WW-T18-006_R1.fastq.gz,WW-T18-006_R2.fastq.gz,2021-09-24,Berlin_A,52.3646054650197,13.5098643274129
WW-T18-007_2021-09-28_Berlin_A,WW-T18-007_R1.fastq.gz,WW-T18-007_R2.fastq.gz,2021-09-28,Berlin_A,52.3646054650197,13.5098643274129
WW-T19-001_2021-10-06_Berlin_A,WW-T19-001_R1.fastq.gz,WW-T19-001_R2.fastq.gz,2021-10-06,Berlin_A,52.3646054650197,13.5098643274129
WW-T19-002_2021-10-04_Berlin_A,WW-T19-002_R1.fastq.gz,WW-T19-002_R2.fastq.gz,2021-10-04,Berlin_A,52.3646054650197,13.5098643274129
WW-T20-004_2021-10-09_Berlin_A,WW-T20-004_R1.fastq.gz,WW-T20-004_R2.fastq.gz,2021-10-09,Berlin_A,52.3646054650197,13.5098643274129
WW-T20-005_2021-10-12_Berlin_A,WW-T20-005_R1.fastq.gz,WW-T20-005_R2.fastq.gz,2021-10-12,Berlin_A,52.3646054650197,13.5098643274129
12108181_2021-10-15_Berlin_A,12108181_R1.fastq.gz,12108181_R2.fastq.gz,2021-10-15,Berlin_A,52.3646054650197,13.5098643274129
