samplename	dates	location_name	coordinates_lat	coordinates_long	Others	b117	b1351	b16172	p1	ba1	ba2
merged_939_1berlin21051920-22hmix	2021-05-19 20:00:00	Berlin_KW2	52.60760209	13.31853359	0	0.729113728558044	0	0.0360355332138818	0.0510775985542503	0.091886569836912	0.091886569836912
merged_939_2berlin21051922-24hmix	2021-05-19 22:00:00	Berlin_KW2	52.60760209	13.31853359	0	0.913890601247579	0.000678158155806271	0.000678158155806271	0	0	0.0847530824408083
merged_939_3berlin21052720-22hmix	2021-05-27 20:00:00	Berlin_KW2	52.60760209	13.31853359	0	0.580792975743924	0.184436045615399	0	0	0.117385489320339	0.117385489320339
merged_939_4berlin21052722-24hmix	2021-05-27 22:00:00	Berlin_KW2	52.60760209	13.31853359	0	0.594741113952223	0	0	0.282938955830283	0.061159965108747	0.061159965108747
merged_939_5berlin21060420-22h	2021-06-04 20:00:00	Berlin_KW2	52.60760209	13.31853359	0	0.648109417339133	0.0282422468038571	0.110121999438847	NA	NA	NA
merged_939_6berlin21060422-00h	2021-06-04 22:00:00	Berlin_KW2	52.60760209	13.31853359	0	0.975231115840536	0.000829436705830902	0.000829436705830902	NA	NA	NA
merged_939_7berlin21061020-22h	2021-06-10 20:00:00	Berlin_KW2	52.60760209	13.31853359	6.43609288386581e-05	0.99984160277862	0	0	NA	NA	NA
merged_939_8berlin21061022-00h	2021-06-10 22:00:00	Berlin_KW2	52.60760209	13.31853359	0	0.726919054056154	0	0.0206418182303917	0.0434691710446559	0.165500785624143	0.0434691710446559
merged_939_9berlin21051220-22hmix	2021-05-12 20:00:00	Berlin_KW2	52.60760209	13.31853359	0	0.682733013205126	0.0560642289123059	0.0964702585425357	0	0.082366249670016	0.082366249670016
merged_P939_210408_20-22hmix	2021-04-08 20:00:00	Berlin_KW2	52.60760209	13.31853359	0	0.663653864519019	0.130196216614475	0	0	0.103074959433253	0.103074959433253
merged_P939_210408_22-24hmix	2021-04-08 22:00:00	Berlin_KW2	52.60760209	13.31853359	0	0.986007405884404	0	0.00337288469566208	0.00131715754369778	0.00465127593811805	0.00465127593811805
merged_P939_210422_20-22hmix	2021-04-22 20:00:00	Berlin_KW2	52.60760209	13.31853359	0	0.946176758801431	0	0.0216661996230375	0	0.0160785207877659	0.0160785207877659
