"samplename","date","raw_reads1","raw_reads2","reads_r1","reads_r2","total_reads","read_num_trimmed_r1","read_num_trimmed_r2","unaligned_reads_from_file","aligned_reads","num_sigmuts_covered","percentage_refgenome_covered","unaligned_reads_by_calc","reads_removed_by_QC"
"merged_939_1berlin21051920-22hmix","2021-05-19 20:00:00","merged_939_1berlin21051920-22hmix_R1.fastq.gz","merged_939_1berlin21051920-22hmix_R2.fastq.gz",372078,372078,744156,194044,194044,42570,"345518","93","96.8231",398638,356068
"merged_939_2berlin21051922-24hmix","2021-05-19 22:00:00","merged_939_2berlin21051922-24hmix_R1.fastq.gz","merged_939_2berlin21051922-24hmix_R2.fastq.gz",360265,360265,720530,232791,232791,194160,"271422","92","95.5255",449108,254948
"merged_939_3berlin21052720-22hmix","2021-05-27 20:00:00","merged_939_3berlin21052720-22hmix_R1.fastq.gz","merged_939_3berlin21052720-22hmix_R2.fastq.gz",269733,269733,539466,188724,188724,96904,"280544","92","96.8799",258922,162018
"merged_939_4berlin21052722-24hmix","2021-05-27 22:00:00","merged_939_4berlin21052722-24hmix_R1.fastq.gz","merged_939_4berlin21052722-24hmix_R2.fastq.gz",192309,192309,384618,116572,116572,31668,"201476","85","94.2548",183142,151474
"merged_939_5berlin21060420-22h","2021-06-04 20:00:00","merged_939_5berlin21060420-22h_R1.fastq.gz","merged_939_5berlin21060420-22h_R2.fastq.gz",227176,227176,454352,125748,125748,47154,"204342","78","72.4676",250010,202856
"merged_939_6berlin21060422-00h","2021-06-04 22:00:00","merged_939_6berlin21060422-00h_R1.fastq.gz","merged_939_6berlin21060422-00h_R2.fastq.gz",280823,280823,561646,143099,143099,25908,"260290","76","74.9891",301356,275448
"merged_939_7berlin21061020-22h","2021-06-10 20:00:00","merged_939_7berlin21061020-22h_R1.fastq.gz","merged_939_7berlin21061020-22h_R2.fastq.gz",272727,272727,545454,218130,218130,186458,"249802","77","77.417",295652,109194
"merged_939_8berlin21061022-00h","2021-06-10 22:00:00","merged_939_8berlin21061022-00h_R1.fastq.gz","merged_939_8berlin21061022-00h_R2.fastq.gz",230582,230582,461164,23525,23525,27574,"19476","86","93.8167",441688,414114
"merged_939_9berlin21051220-22hmix","2021-05-12 20:00:00","merged_939_9berlin21051220-22hmix_R1.fastq.gz","merged_939_9berlin21051220-22hmix_R2.fastq.gz",322064,322064,644128,45880,45880,19376,"72384","91","95.5958",571744,552368
"merged_P939_210507_20-22hmix","2021-05-07 20:00:00","merged_P939_210507_20-22hmix_R1.fastq.gz","merged_P939_210507_20-22hmix_R2.fastq.gz",61202,61202,122404,60560,60560,13076,"108044","80","77.5441",14360,1284
"merged_P939_210507_22-24hmix","2021-05-07 22:00:00","merged_P939_210507_22-24hmix_R1.fastq.gz","merged_P939_210507_22-24hmix_R2.fastq.gz",80576,80576,161152,79674,79674,26562,"132786","83","89.1817",28366,1804
"merged_P939_210408_20-22hmix","2021-04-08 20:00:00","merged_P939_210408_20-22hmix_R1.fastq.gz","merged_P939_210408_20-22hmix_R2.fastq.gz",570084,570084,1140168,552256,552256,587610,"516902","94","99.057",623266,35656
"merged_P939_210408_22-24hmix","2021-04-08 22:00:00","merged_P939_210408_22-24hmix_R1.fastq.gz","merged_P939_210408_22-24hmix_R2.fastq.gz",648081,648081,1296162,625187,625187,589328,"661046","94","99.7559",635116,45788
"merged_P939_210422_22-24hmix","2021-04-22 22:00:00","merged_P939_210422_22-24hmix_R1.fastq.gz","merged_P939_210422_22-24hmix_R2.fastq.gz",390175,390175,780350,379059,379059,255572,"502546","94","99.1238",277804,22232
"merged_P939_210427_12-14hmix","2021-04-27 12:00:00","merged_P939_210427_12-14hmix_R1.fastq.gz","merged_P939_210427_12-14hmix_R2.fastq.gz",330451,330451,660902,319587,319587,312026,"327148","93","99.2007",333754,21728
"merged_P939_210427_16-18hmix","2021-04-27 16:00:00","merged_P939_210427_16-18hmix_R1.fastq.gz","merged_P939_210427_16-18hmix_R2.fastq.gz",366101,366101,732202,355798,355798,353936,"357660","94","99.7659",374542,20606
"merged_P939_210427_20-22hmix","2021-04-27 20:00:00","merged_P939_210427_20-22hmix_R1.fastq.gz","merged_P939_210427_20-22hmix_R2.fastq.gz",859925,859925,1719850,809407,809407,903016,"715798","92","98.9265",1004052,101036
"merged_P939_210427_22-24hmix","2021-04-27 22:00:00","merged_P939_210427_22-24hmix_R1.fastq.gz","merged_P939_210427_22-24hmix_R2.fastq.gz",825591,825591,1651182,777360,777360,251854,"1302866","93","98.5486",348316,96462
"merged_P939_210415_20-22hmix","2021-04-15 20:00:00","merged_P939_210415_20-22hmix_R1.fastq.gz","merged_P939_210415_20-22hmix_R2.fastq.gz",8094574,8094574,16189148,7227227,7227227,6723200,"7731254","54","49.4599",8457894,1734694
"merged_P939_210415_22-24hmix","2021-04-15 22:00:00","merged_P939_210415_22-24hmix_R1.fastq.gz","merged_P939_210415_22-24hmix_R2.fastq.gz",7800104,7800104,15600208,7026328,7026328,6886910,"7165746","53","43.7347",8434462,1547552
"merged_P939_210422_20-22hmix","2021-04-22 20:00:00","merged_P939_210422_20-22hmix_R1.fastq.gz","merged_P939_210422_20-22hmix_R2.fastq.gz",390222,390222,780444,377707,377707,297368,"458046","94","99.7425",322398,25030
"WW_210209_WA","2021-02-09 00:00:00","WW_210209_WA_R1.fastq.gz","WW_210209_WA_R2.fastq.gz",322324,322324,644648,321616,321616,4338,"638894","71","72.6984",5754,1416
"WW_210219_Berlin_KW1","2021-02-19 00:00:00","WW_210219_KW1_R1.fastq.gz","WW_210219_KW1_R2.fastq.gz",502247,502247,1004494,479108,479108,315626,"642590","94","98.5353",361904,46278
"WW_210225_Berlin_KW1_20-22","2021-02-25 20:00:00","WW_210225_KW1_20-22_R1.fastq.gz","WW_210225_KW1_20-22_R2.fastq.gz",163249,163249,326498,153398,153398,75810,"230986","88","89.4024",95512,19702
"WW_210225_Berlin_KW1_22-24","2021-02-25 22:00:00","WW_210225_KW1_22-24_R1.fastq.gz","WW_210225_KW1_22-24_R2.fastq.gz",337373,337373,674746,323783,323783,123024,"524542","91","94.8366",150204,27180
"WW_210304_Berlin_KW1","2021-03-04 00:00:00","WW_210304_KW1_R1.fastq.gz","WW_210304_KW1_R2.fastq.gz",469976,469976,939952,449865,449865,423786,"475944","93","96.813",464008,40222
"WW_210304_Berlin_KW3","2021-03-04 00:00:00","WW_210304_KW3_R1.fastq.gz","WW_210304_KW3_R2.fastq.gz",1216134,1216134,2432268,1186898,1186898,343130,"2030666","60","67.3277",401602,58472
"WW_210304_Berlin_KW6","2021-03-04 00:00:00","WW_210304_KW6_R1.fastq.gz","WW_210304_KW6_R2.fastq.gz",430577,430577,861154,422627,422627,211518,"633736","93","98.5854",227418,15900
"WW_210311_Berlin_KW1","2021-03-11 00:00:00","WW_210311_KW1_R1.fastq.gz","WW_210311_KW1_R2.fastq.gz",474861,474861,949722,447526,447526,309428,"585624","92","96.8063",364098,54670
"WW_210311_Berlin_KW2","2021-03-11 00:00:00","WW_210311_KW2_R1.fastq.gz","WW_210311_KW2_R2.fastq.gz",762780,762780,1525560,728606,728606,335892,"1121320","94","96.7395",404240,68348
"WW_210311_Berlin_KW3","2021-03-11 00:00:00","WW_210311_KW3_R1.fastq.gz","WW_210311_KW3_R2.fastq.gz",700716,700716,1401432,681881,681881,518612,"845150","85","95.5857",556282,37670
"WW_210311_Berlin_KW6","2021-03-11 00:00:00","WW_210311_KW6_R1.fastq.gz","WW_210311_KW6_R2.fastq.gz",1607881,1607881,3215762,1554746,1554746,505248,"2604244","88","70.7855",611518,106270
